[time_index],[x],[y]
0.0,0.0,0.0
1.0,0.707106781187,0.658106781187
2.0,1.737518767943079,1.217742681503296
3.0,2.4452282585082536,1.679765224456787
4.0,3.121592869040234,2.043785572052002
5.0,3.7764746512932916,2.3098032474517822
6.0,4.415265470325265,2.477818727493286
7.0,5.041328723579735,2.5478315353393555
8.0,5.65694733165938,2.5198426246643066
9.0,6.263760847555815,2.393850803375244
10.0,6.862998177894021,2.169856548309326
11.0,7.455611500734841,1.8478600978851318
12.0,8.042359311989792,1.427861213684082
13.0,8.623854794662236,0.9098600745201111
14.0,9.200611977278168,0.29385608434677124
